Generation,Original strategy,Short original strategy,simplified strategy,Short simplified strategy,Original Depth,Simplified Depth,Original Complexity,Simple Complexity
0,random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:click-action:,252B,random-unexecuted-action-of-type:click-action:,2B,4,2,1,1
0,random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action-of-type:type-of-action-of:random-action-of-type:hit-key-action:,V5W5V5V6,random-action-of-type:type-of-action-of:random-action-of-type-other-than:hit-key-action:,V5W6,8,4,1,1
0,random-action-of-type:type-of-action-of:random-action-of-type:type-action:,V5V3,random-action-of-type:type-action:,V3,4,2,1,1
0,if-then-else:left-clicks-available:random-unexecuted-action:random-least-executed-action:,GH1X,if-then-else:left-clicks-available:random-unexecuted-action:random-least-executed-action:,GH1X,2,2,2,2
0,random-action-of-type:hit-key-action:,V6,random-action-of-type:hit-key-action:,V6,2,2,1,1
0,if-then-else:equalstype:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-unexecuted-action:type-of-action-of:if-then-else:equalstype:type-of-action-of:random-unexecuted-action-of-type:hit-key-action:type-of-action-of:random-action-of-type-other-than:type-action:random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:hit-key-action:random-action-of-type-other-than:type-of-action-of:random-action-of-type:drag-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:if-then-else:equalstype:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:if-then-else:drag-actions-available:random-action:random-least-executed-action:type-of-action-of:if-then-else:equalstype:type-of-action-of:random-action:type-of-action-of:previous-action:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action:random-action-of-type-other-than:type-of-action-of:random-unexecuted-action:random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:if-then-else:type-actions-available:random-unexecuted-action:random-least-executed-action:if-then-else:or:equals:number-of-actions-of-type:type-of-action-of:random-action:number-of-actions-of-type:type-of-action-of:previous-action:not:and:equalstype:type-action:drag-action:equalstype:drag-action:hit-key-action:random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:random-action-of-type-other-than:type-of-action-of:if-then-else:equals:number-of-actions:number-of-drag-actions:random-unexecuted-action-of-type:click-action:random-action-of-type:click-action:,G8525W515G85265W3V526W5VC25V5W5XG8525GDUX5G85U5T251W51V5W5G41XGSEK5UK5TIA83C8C6V525YW5GEJL2BVB,if-then-else:equalstype:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-unexecuted-action:type-of-action-of:if-then-else:equalstype:hit-key-action:type-of-action-of:random-action-of-type-other-than:type-action:random-action-of-type:hit-key-action:random-action-of-type-other-than:drag-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:if-then-else:equalstype:type-of-action-of:if-then-else:drag-actions-available:random-action:random-least-executed-action:type-of-action-of:if-then-else:equalstype:type-of-action-of:random-action:type-of-action-of:previous-action:random-unexecuted-action:random-action-of-type-other-than:type-of-action-of:random-unexecuted-action:random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:if-then-else:type-actions-available:random-unexecuted-action:random-least-executed-action:random-action-of-type:type-of-action-of:random-most-executed-action:,G85W515G865W3V6WC25W5XG85GDUX5G85U5T1W51V5W5G41XV5Y,8,8,9,7
0,random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:type-of-action-of:random-least-executed-action:,25V5X,random-unexecuted-action-of-type:type-of-action-of:random-least-executed-action:,25X,5,3,1,1
0,if-then-else:equalstype:drag-action:hit-key-action:random-action-of-type-other-than:drag-action:random-action-of-type:type-action:,G8C6WCV3,random-action-of-type:type-action:,V3,3,2,2,1
0,if-then-else:drag-actions-available:previous-action:random-most-executed-action:,GDTY,if-then-else:drag-actions-available:previous-action:random-most-executed-action:,GDTY,2,2,2,2
0,if-then-else:and:type-actions-available:left-clicks-available:random-action-of-type-other-than:type-action:random-action-of-type-other-than:hit-key-action:,GA4HW3W6,if-then-else:and:type-actions-available:left-clicks-available:random-action-of-type-other-than:type-action:random-action-of-type-other-than:hit-key-action:,GA4HW3W6,3,3,2,2
0,if-then-else:equalstype:click-action:type-action:random-action-of-type-other-than:drag-action:if-then-else:left-clicks-available:random-least-executed-action:random-action:,G8B3WCGHXU,if-then-else:left-clicks-available:random-least-executed-action:random-action:,GHXU,3,2,3,2
